assessment_id,assessment_base_id,assessment_version,assessment_type_id,assessment_update_ts,assessment_passing_fraction
"7Z6FEA8qEeWjlSIACxCHZA@9","7Z6FEA8qEeWjlSIACxCHZA",9,1,2015-06-10 04:43:54.067,
"PqJsa-niEeSBAyIAC0yDbg@5","PqJsa-niEeSBAyIAC0yDbg",5,6,2015-06-24 16:39:09.655,
"7Z6FEA8qEeWjlSIACxCHZA@20","7Z6FEA8qEeWjlSIACxCHZA",20,1,2015-06-10 18:01:05.713,
"7Z6FEA8qEeWjlSIACxCHZA@22","7Z6FEA8qEeWjlSIACxCHZA",22,1,2015-06-10 18:01:11.981,
"Q1hfs-OtEeS_7SIACxCfaQ@3","Q1hfs-OtEeS_7SIACxCfaQ",3,1,2015-06-17 21:07:00.81,
"QPOVCeOtEeS_7SIACxCfaQ@1","QPOVCeOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:18.651,
"QtZeuOOtEeS_7SIACxCfaQ@1","QtZeuOOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:21.815,
"7Z6FEA8qEeWjlSIACxCHZA@3","7Z6FEA8qEeWjlSIACxCHZA",3,1,2015-06-10 04:41:33.20,
"P7GfzOOtEeS_7SIACxCfaQ@3","P7GfzOOtEeS_7SIACxCfaQ",3,1,2015-06-12 21:03:30.84,
"7Z6FEA8qEeWjlSIACxCHZA@28","7Z6FEA8qEeWjlSIACxCHZA",28,1,2015-06-11 04:18:43.272,
"QrYsfOOtEeS_7SIACxCfaQ@3","QrYsfOOtEeS_7SIACxCfaQ",3,1,2015-06-17 21:07:13.271,
"QzuJ1-OtEeS_7SIACxCfaQ@3","QzuJ1-OtEeS_7SIACxCfaQ",3,1,2015-06-17 21:07:04.438,
"PqJsa-niEeSBAyIAC0yDbg@3","PqJsa-niEeSBAyIAC0yDbg",3,6,2015-05-15 09:14:06.671,
"Qq_q6uOtEeS_7SIACxCfaQ@2","Qq_q6uOtEeS_7SIACxCfaQ",2,1,2015-06-12 21:05:40.302,
"TAkmugjhEeWCQyIAC5XEog@1","TAkmugjhEeWCQyIAC5XEog",1,7,2015-06-02 04:39:04.10,
"7Z6FEA8qEeWjlSIACxCHZA@25","7Z6FEA8qEeWjlSIACxCHZA",25,1,2015-06-10 18:02:25.223,
"Q07qz-OtEeS_7SIACxCfaQ@1","Q07qz-OtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:22.605,
"auc45AjhEeWTpSIAC4-MSg@3","auc45AjhEeWTpSIAC4-MSg",3,7,2015-10-28 03:58:56.432,
"QiLtgeOtEeS_7SIACxCfaQ@2","QiLtgeOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:04:16.616,
"QrYsfOOtEeS_7SIACxCfaQ@1","QrYsfOOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:21.604,
"Q1OkweOtEeS_7SIACxCfaQ@1","Q1OkweOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:22.636,
"Qq_q6uOtEeS_7SIACxCfaQ@3","Qq_q6uOtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:13.608,
"QtIY9uOtEeS_7SIACxCfaQ@1","QtIY9uOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:21.787,
"QOLzM-OtEeS_7SIACxCfaQ@2","QOLzM-OtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:26.987,
"QtZeuOOtEeS_7SIACxCfaQ@2","QtZeuOOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:53.016,
"P7GfzOOtEeS_7SIACxCfaQ@6","P7GfzOOtEeS_7SIACxCfaQ",6,1,2015-11-02 03:09:58.761,
"P7bP7uOtEeS_7SIACxCfaQ@4","P7bP7uOtEeS_7SIACxCfaQ",4,1,2016-03-22 14:44:50.843,
"PqJsa-niEeSBAyIAC0yDbg@1","PqJsa-niEeSBAyIAC0yDbg",1,6,2015-04-23 17:57:45.066,
"QQe5UeOtEeS_7SIACxCfaQ@1","QQe5UeOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:18.783,
"Qszo1OOtEeS_7SIACxCfaQ@3","Qszo1OOtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:24.212,
"7Z6FEA8qEeWjlSIACxCHZA@24","7Z6FEA8qEeWjlSIACxCHZA",24,1,2015-06-10 18:01:27.178,
"P6SneOOtEeS_7SIACxCfaQ@2","P6SneOOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:39.307,
"P7GfzOOtEeS_7SIACxCfaQ@2","P7GfzOOtEeS_7SIACxCfaQ",2,1,2015-06-12 21:02:26.157,
"Qq_q6uOtEeS_7SIACxCfaQ@1","Qq_q6uOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:21.563,
"QqtXCOOtEeS_7SIACxCfaQ@2","QqtXCOOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:29.251,
"Qsh8AuOtEeS_7SIACxCfaQ@2","Qsh8AuOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:02:50.339,
"DwWleQjhEeWk6iIAC3_PpA@2","DwWleQjhEeWk6iIAC3_PpA",2,7,2015-06-15 18:55:56.68,
"Q1hfs-OtEeS_7SIACxCfaQ@2","Q1hfs-OtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:05.857,
"Q1OkweOtEeS_7SIACxCfaQ@3","Q1OkweOtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:18.901,
"QQHs7eOtEeS_7SIACxCfaQ@1","QQHs7eOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:18.745,
"PysxSuOtEeS_7SIACxCfaQ@4","PysxSuOtEeS_7SIACxCfaQ",4,1,2015-10-02 08:09:46.847,
"86CCsYfPEeSb9SIACzCJlg@6","86CCsYfPEeSb9SIACzCJlg",6,1,2015-06-17 21:06:39.72,
"Q0nhveOtEeS_7SIACxCfaQ@2","Q0nhveOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:04:19.551,
"Px5gCOOtEeS_7SIACxCfaQ@1","Px5gCOOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:15.576,
"Qy9U0-OtEeS_7SIACxCfaQ@1","Qy9U0-OtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:22.398,
"8-x_H4fPEeSb9SIACzCJlg@2","8-x_H4fPEeSb9SIACzCJlg",2,1,2015-06-08 15:17:29.25,
"P6ATluOtEeS_7SIACxCfaQ@3","P6ATluOtEeS_7SIACxCfaQ",3,1,2015-11-04 15:27:31.842,
"QlNzb-OtEeS_7SIACxCfaQ@2","QlNzb-OtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:57.248,
"K7qVnQjhEeWCQyIAC5XEog@4","K7qVnQjhEeWCQyIAC5XEog",4,7,2015-06-08 13:51:43.981,
"A0XgSvlIEeS7YiIAC0KBkQ@7","A0XgSvlIEeS7YiIAC0KBkQ",7,6,2015-05-22 13:36:04.433,
"Qhctr-OtEeS_7SIACxCfaQ@3","Qhctr-OtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:16.208,
"Q1zzl-OtEeS_7SIACxCfaQ@2","Q1zzl-OtEeS_7SIACxCfaQ",2,1,2015-06-12 23:04:25.007,
"PzdmTuOtEeS_7SIACxCfaQ@4","PzdmTuOtEeS_7SIACxCfaQ",4,1,2015-10-02 07:41:09.727,
"QiLtgeOtEeS_7SIACxCfaQ@1","QiLtgeOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:20.639,
"Qy9U0-OtEeS_7SIACxCfaQ@3","Qy9U0-OtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:58.375,
"P6mwiuOtEeS_7SIACxCfaQ@2","P6mwiuOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:31.342,
"Qk6RbeOtEeS_7SIACxCfaQ@1","Qk6RbeOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:20.925,
"7Z6FEA8qEeWjlSIACxCHZA@31","7Z6FEA8qEeWjlSIACxCHZA",31,1,2015-06-13 12:37:51.50,
"A0XgSvlIEeS7YiIAC0KBkQ@2","A0XgSvlIEeS7YiIAC0KBkQ",2,6,2015-05-14 10:51:14.75,
"A0XgSvlIEeS7YiIAC0KBkQ@5","A0XgSvlIEeS7YiIAC0KBkQ",5,6,2015-05-14 11:03:33.636,
"P5TI8-OtEeS_7SIACxCfaQ@2","P5TI8-OtEeS_7SIACxCfaQ",2,6,2015-04-15 23:52:24.188,
"Q0Umy-OtEeS_7SIACxCfaQ@2","Q0Umy-OtEeS_7SIACxCfaQ",2,1,2015-06-12 22:36:40.506,
"QzuJ1-OtEeS_7SIACxCfaQ@2","QzuJ1-OtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:10.079,
"8-x_H4fPEeSb9SIACzCJlg@8","8-x_H4fPEeSb9SIACzCJlg",8,1,2015-06-17 21:06:42.191,
"PqJsa-niEeSBAyIAC0yDbg@4","PqJsa-niEeSBAyIAC0yDbg",4,6,2015-05-15 09:57:26.191,
"7Z6FEA8qEeWjlSIACxCHZA@17","7Z6FEA8qEeWjlSIACxCHZA",17,1,2015-06-10 17:56:44.139,
"QO4Wx-OtEeS_7SIACxCfaQ@2","QO4Wx-OtEeS_7SIACxCfaQ",2,1,2015-06-12 22:36:48.326,
"Qt-tjOOtEeS_7SIACxCfaQ@2","Qt-tjOOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:55.111,
"QQe5UeOtEeS_7SIACxCfaQ@2","QQe5UeOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:59.234,
"8-x_H4fPEeSb9SIACzCJlg@3","8-x_H4fPEeSb9SIACzCJlg",3,1,2015-06-10 16:42:19.929,
"Qrwf7uOtEeS_7SIACxCfaQ@1","Qrwf7uOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:21.643,
"Q0Umy-OtEeS_7SIACxCfaQ@3","Q0Umy-OtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:21.349,
"DwWleQjhEeWk6iIAC3_PpA@3","DwWleQjhEeWk6iIAC3_PpA",3,7,2015-06-15 18:58:17.056,
"P7x0QOOtEeS_7SIACxCfaQ@2","P7x0QOOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:04:02.918,
"QlNzb-OtEeS_7SIACxCfaQ@1","QlNzb-OtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:20.957,
"Q0Br2eOtEeS_7SIACxCfaQ@1","Q0Br2eOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:22.51,
"7Z6FEA8qEeWjlSIACxCHZA@18","7Z6FEA8qEeWjlSIACxCHZA",18,1,2015-06-10 17:57:42.217,
"PzJdPOOtEeS_7SIACxCfaQ@3","PzJdPOOtEeS_7SIACxCfaQ",3,1,2015-10-02 07:33:51.977,
"Q0Umy-OtEeS_7SIACxCfaQ@1","Q0Umy-OtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:22.541,
"QrYsfOOtEeS_7SIACxCfaQ@2","QrYsfOOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:20.13,
"Qszo1OOtEeS_7SIACxCfaQ@1","Qszo1OOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:21.753,
"sX7UFjuLEeWYpCIAC4O5_Q@1","sX7UFjuLEeWYpCIAC4O5_Q",1,1,2015-08-05 16:04:46.904,
"K7qVnQjhEeWCQyIAC5XEog@8","K7qVnQjhEeWCQyIAC5XEog",8,7,2015-06-12 17:27:21.273,
"QO4Wx-OtEeS_7SIACxCfaQ@4","QO4Wx-OtEeS_7SIACxCfaQ",4,1,2015-11-02 16:52:56.206,
"2vkPlgjgEeWRIiIAC9lFJw@2","2vkPlgjgEeWRIiIAC9lFJw",2,7,2015-06-06 12:10:04.682,
"86CCsYfPEeSb9SIACzCJlg@1","86CCsYfPEeSb9SIACzCJlg",1,1,2014-10-05 07:42:13.454,
"P7GfzOOtEeS_7SIACxCfaQ@5","P7GfzOOtEeS_7SIACxCfaQ",5,1,2015-06-17 21:07:11.049,
"K7qVnQjhEeWCQyIAC5XEog@2","K7qVnQjhEeWCQyIAC5XEog",2,7,2015-06-08 13:12:02.778,
"P5TI8-OtEeS_7SIACxCfaQ@4","P5TI8-OtEeS_7SIACxCfaQ",4,6,2015-05-30 05:54:08.757,
"QtIY9uOtEeS_7SIACxCfaQ@2","QtIY9uOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:48.08,
"QQ03lOOtEeS_7SIACxCfaQ@1","QQ03lOOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:18.819,
"7Z6FEA8qEeWjlSIACxCHZA@15","7Z6FEA8qEeWjlSIACxCHZA",15,1,2015-06-10 04:45:02.217,
"P7bP7uOtEeS_7SIACxCfaQ@1","P7bP7uOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:16.575,
"QPyVu-OtEeS_7SIACxCfaQ@2","QPyVu-OtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:00.39,
"P6SneOOtEeS_7SIACxCfaQ@1","P6SneOOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:16.456,
"PysxSuOtEeS_7SIACxCfaQ@3","PysxSuOtEeS_7SIACxCfaQ",3,1,2015-10-02 07:31:12.45,
"7Z6FEA8qEeWjlSIACxCHZA@16","7Z6FEA8qEeWjlSIACxCHZA",16,1,2015-06-10 04:45:05.593,
"PzJdPOOtEeS_7SIACxCfaQ@1","PzJdPOOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:15.707,
"QQ03lOOtEeS_7SIACxCfaQ@2","QQ03lOOtEeS_7SIACxCfaQ",2,1,2015-06-12 22:36:53.574,
"P6SneOOtEeS_7SIACxCfaQ@3","P6SneOOtEeS_7SIACxCfaQ",3,1,2015-11-08 16:25:27.288,
"QsBlsOOtEeS_7SIACxCfaQ@3","QsBlsOOtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:53.516,
"QN1N4eOtEeS_7SIACxCfaQ@1","QN1N4eOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:18.505,
"Q1zzl-OtEeS_7SIACxCfaQ@1","Q1zzl-OtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:22.697,
"auc45AjhEeWTpSIAC4-MSg@1","auc45AjhEeWTpSIAC4-MSg",1,7,2015-06-02 04:39:55.887,
"Px5gCOOtEeS_7SIACxCfaQ@3","Px5gCOOtEeS_7SIACxCfaQ",3,1,2015-06-17 21:07:17.16,
"QO4Wx-OtEeS_7SIACxCfaQ@1","QO4Wx-OtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:18.615,
"Qsh8AuOtEeS_7SIACxCfaQ@1","Qsh8AuOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:21.724,
"QPyVu-OtEeS_7SIACxCfaQ@3","QPyVu-OtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:55.703,
"P6mwiuOtEeS_7SIACxCfaQ@3","P6mwiuOtEeS_7SIACxCfaQ",3,1,2015-11-18 04:13:17.227,
"A0XgSvlIEeS7YiIAC0KBkQ@3","A0XgSvlIEeS7YiIAC0KBkQ",3,6,2015-05-14 10:53:23.636,
"QN1N4eOtEeS_7SIACxCfaQ@3","QN1N4eOtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:33.47,
"8-x_H4fPEeSb9SIACzCJlg@1","8-x_H4fPEeSb9SIACzCJlg",1,1,2014-10-04 18:12:46.344,
"A0XgSvlIEeS7YiIAC0KBkQ@4","A0XgSvlIEeS7YiIAC0KBkQ",4,6,2015-05-14 11:01:01.417,
